,graph_coloring_min_colors,graph_coloring_with_MOE_cut_min_colors,graph_coloring_with_random_cut_min_colors,graph_coloring_with_goeman_williamson_min_colors,is_reducible_MOE,is_reducible_random_cut,is_reducible_goeman_williamson,graph_coloring_with_MOE_cut_min_colors_optimized,graph_coloring_with_random_cut_min_colors_optimized,graph_coloring_with_goeman_williamson_min_colors_optimized
0,4,4,4,4,True,True,True,4,4,4
1,4,4,5,4,True,False,True,4,4,4
2,4,4,5,4,True,False,True,4,4,4
3,4,4,5,4,True,True,True,4,5,4
4,4,4,4,4,True,True,True,4,4,4
5,4,4,4,4,True,True,True,4,4,4
6,4,4,4,4,True,True,True,4,4,4
7,4,4,5,4,True,False,True,4,4,4
8,4,4,5,4,True,False,True,4,4,4
9,4,4,4,4,True,True,True,4,4,4
10,4,4,5,4,True,False,True,4,4,4
11,4,4,4,4,True,True,True,4,4,4
12,4,4,4,4,True,True,True,4,4,4
13,4,4,5,4,True,False,True,4,4,4
14,4,4,4,4,True,True,True,4,4,4
15,4,4,5,4,True,False,True,4,4,4
16,4,4,5,4,True,True,True,4,5,4
17,4,4,4,4,True,True,True,4,4,4
18,4,4,5,4,True,False,True,4,4,4
19,4,4,5,4,True,True,True,4,5,4
