,graph_coloring_min_colors,graph_coloring_with_MOE_cut_min_colors,graph_coloring_with_random_cut_min_colors,graph_coloring_with_goeman_williamson_min_colors,is_reducible_MOE,is_reducible_random_cut,is_reducible_goeman_williamson,graph_coloring_with_MOE_cut_min_colors_optimized,graph_coloring_with_random_cut_min_colors_optimized,graph_coloring_with_goeman_williamson_min_colors_optimized
0,11,7,10,8,True,True,True,7,10,8
1,12,7,9,8,True,True,True,7,9,8
2,11,7,9,7,True,True,True,7,9,7
3,12,7,9,8,True,True,True,7,9,8
4,11,8,10,8,True,False,True,8,9,8
5,11,7,10,7,True,True,True,7,10,7
6,8,7,10,7,True,True,True,7,10,7
7,12,7,10,9,True,True,True,7,10,9
8,12,7,9,7,True,True,True,7,9,7
9,11,7,11,9,True,False,True,7,10,9
10,12,7,10,7,True,False,True,7,9,7
11,10,8,8,8,True,True,True,8,8,8
12,13,7,10,7,True,False,True,7,9,7
13,12,7,9,7,True,True,True,7,9,7
14,11,7,8,8,True,True,True,7,8,8
15,9,7,9,7,True,True,True,7,9,7
16,11,7,10,7,True,True,True,7,10,7
17,12,7,10,8,True,False,True,7,9,8
18,11,7,10,7,True,True,True,7,10,7
19,11,7,9,9,True,True,True,7,9,9
