,graph_coloring_min_colors,graph_coloring_with_MOE_cut_min_colors,graph_coloring_with_random_cut_min_colors,graph_coloring_with_goeman_williamson_min_colors,is_reducible_MOE,is_reducible_random_cut,is_reducible_goeman_williamson,graph_coloring_with_MOE_cut_min_colors_optimized,graph_coloring_with_random_cut_min_colors_optimized,graph_coloring_with_goeman_williamson_min_colors_optimized
0,8,7,10,8,True,True,True,7,10,8
1,11,7,9,8,True,False,False,7,8,7
2,8,7,10,8,True,True,True,7,10,8
3,8,7,9,8,True,True,True,7,9,8
4,9,8,10,8,True,False,True,8,7,8
5,9,6,8,8,False,False,False,5,7,7
6,10,8,9,9,False,True,True,7,9,9
7,9,7,9,7,False,True,True,6,9,7
8,8,7,10,7,True,False,True,7,8,7
9,9,8,10,8,True,False,False,8,8,7
10,10,8,9,6,False,True,False,7,9,5
11,8,7,9,9,True,True,False,7,9,8
12,8,7,9,8,True,False,False,7,8,7
13,9,7,9,8,True,True,False,7,9,7
14,8,6,9,7,True,False,False,6,6,6
15,9,7,8,7,True,True,True,7,8,7
16,9,7,9,8,True,True,True,7,9,8
17,9,7,8,8,True,False,True,7,7,8
18,7,9,7,8,True,False,False,9,6,7
19,8,8,8,8,True,False,False,8,7,6
