,graph_coloring_min_colors,graph_coloring_with_MOE_cut_min_colors,graph_coloring_with_random_cut_min_colors,graph_coloring_with_goeman_williamson_min_colors,is_reducible_MOE,is_reducible_random_cut,is_reducible_goeman_williamson,graph_coloring_with_MOE_cut_min_colors_optimized,graph_coloring_with_random_cut_min_colors_optimized,graph_coloring_with_goeman_williamson_min_colors_optimized
0,16,12,16,12,True,False,True,12,13,12
1,16,13,15,13,False,False,False,12,13,12
2,17,10,14,12,True,False,True,10,13,12
3,16,13,15,13,True,False,True,13,11,13
4,17,11,15,12,False,False,True,10,14,12
5,17,13,15,11,True,False,True,13,13,11
6,16,13,16,12,False,False,True,11,14,12
7,17,13,13,12,True,True,True,13,13,12
8,16,13,15,13,False,False,True,12,12,13
9,16,12,15,13,False,False,False,11,14,12
10,18,10,15,12,True,False,False,10,14,11
11,17,11,12,14,True,True,True,11,12,14
12,16,12,14,12,False,False,True,11,13,12
13,17,13,13,13,True,True,False,13,13,12
14,17,13,14,13,False,False,True,12,12,13
15,15,12,17,12,True,False,False,12,14,11
16,18,13,16,13,False,True,False,12,16,12
17,16,12,15,12,True,False,False,12,14,11
18,17,13,15,13,True,False,False,13,13,12
19,16,12,16,13,True,False,True,12,14,13
